"object","size","distance","Effort","lon","lat","x","y","elev","hab","hab_name"
"R21PTDC0839-1",1,20.4428988912249,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC1555-1",1,49.4878357820451,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC1555-2",1,49.6310149597261,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC1582-1",1,41.4908724098336,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC1582-2",1,65.4100309000756,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC1950-1",1,21.6624393970736,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC1950-2",1,43.2374282204072,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC1950-3",1,26.0120233820915,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC2324-1",1,82.3827117033669,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC5729-1",1,13.4404107633306,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC5729-2",1,53.0791669309832,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R21PTDC5729-3",1,52.5316376315639,7683,99.3839958918427,43.0490114813455,531274,4766329,1037,34,"Salty haloxylon semi-desert"
"R45PTDC2859-1",1,25.5908870729985,6030,97.5222961425491,43.6208978803661,337774,4830829,1055,18,"Higher and intermediate dry steppe/ shrub communities"
"R66PTDC6723-1",1,40.5825507811923,7787,96.7011575629241,44.1880480055419,359274,4873829,1096,33,"Haloxylon semi-desert"
"R66PTDC7222-1",1,39.6855220170181,7787,96.7011575629241,44.1880480055419,359274,4873829,1096,33,"Haloxylon semi-desert"
"R69PTDC0504-1",1,57.1819506553554,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC0504-2",1,57.3618238182355,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC0539-1",1,73.6079049211222,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC0539-2",1,105.341590566497,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC0539-3",1,82.5851067420925,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC0539-4",1,77.2942507407737,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1825-1",1,45.9047981446365,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1825-2",1,62.5735059117838,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1825-3",1,93.7187930948008,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1825-4",1,36.8507343358851,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1825-5",1,37.4400620263714,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1826-1",1,42.2912295729914,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1826-2",1,70.5068252864785,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1826-3",1,53.587639147331,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1826-4",1,69.0144839786355,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1826-5",1,61.8249481273787,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1826-6",1,35.3245137160356,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1827-1",1,44.9748150664183,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1827-2",1,68.8171343716677,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1827-3",1,59.244561774336,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1827-4",1,69.4434999898478,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1827-5",1,56.1985183102097,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1827-6",1,35.1663644920091,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1828-1",1,21.3160369667597,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1828-2",1,18.4816325061427,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1828-3",1,18.8651024061392,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1828-4",1,23.0396141145591,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1828-5",1,30.2328313167687,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1828-6",1,32.9365180995235,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1828-7",1,6.92442444921217,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC1952-1",1,61.498466331106,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC3868-1",1,78.6772643684625,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC3868-2",1,63.0053487684011,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC5776-1",1,17.1610496395527,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC5776-2",1,21.9381699883502,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC5776-3",1,22.968929376307,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC5776-4",1,13.4638006067383,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R69PTDC6103-1",1,23.5568807923331,7570,97.5078587708732,44.2014379551871,731458,4894717,1355,33,"Haloxylon semi-desert"
"R76PTDC0278-1",1,54.1641878201116,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0278-2",1,69.5748695309866,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0278-3",1,53.5358845438734,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0279-1",1,61.8816741081415,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0279-2",1,88.636808589343,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0279-3",1,72.6930456982126,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0279-4",1,80.1016886788418,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0279-5",1,79.849112063495,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0280-1",1,61.9307887374147,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0280-2",1,66.2394456355,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0281-1",1,72.620352952426,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC0281-2",1,120.544927779805,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC2174-1",1,49.3795838433801,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC2174-2",1,29.53311987604,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC2174-3",1,70.3950956783266,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC2629-1",1,85.8168857306506,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC2629-2",1,86.8955693571378,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC6962-1",1,31.1852404558873,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R76PTDC6962-2",1,54.9086675962324,7855,97.6123698439811,42.9417742996647,294774,4916829,1480,18,"Higher and intermediate dry steppe/ shrub communities"
"R82PTDC4440-1",1,19.6626122763046,3880,97.6861586335339,44.1537236174307,451470,4740813,1543,18,"Higher and intermediate dry steppe/ shrub communities"
"R82PTDC4440-2",1,23.951861774362,3880,97.6861586335339,44.1537236174307,451470,4740813,1543,18,"Higher and intermediate dry steppe/ shrub communities"
"R82PTDC4444-1",1,8.95528096559063,3880,97.6861586335339,44.1537236174307,451470,4740813,1543,18,"Higher and intermediate dry steppe/ shrub communities"
"R88PTDC7242-1",1,58.3934228774836,7012,95.6376218482525,43.9681164657094,394936,4889786,1527,18,"Higher and intermediate dry steppe/ shrub communities"
"R88PTDC7264-1",1,24.95064797096,7012,95.6376218482525,43.9681164657094,394936,4889786,1527,18,"Higher and intermediate dry steppe/ shrub communities"
"R88PTDC7339-1",1,9.56263783850476,7012,95.6376218482525,43.9681164657094,394936,4889786,1527,18,"Higher and intermediate dry steppe/ shrub communities"
"R88PTDC7339-2",1,8.37552575378154,7012,95.6376218482525,43.9681164657094,394936,4889786,1527,18,"Higher and intermediate dry steppe/ shrub communities"
"R9PTDC2631-1",1,50.130774949354,7498,97.8039467837677,42.8497972384257,402274,4744829,1242,18,"Higher and intermediate dry steppe/ shrub communities"
